ID,NAME,DESCRIPTION,DISCIPLINE_ID,COST_MODEL_ID,SOURCE_BOOK_ID,PAGE_NUMBER,VISIBLE
1,Lure of Flames,Conjure forth mystical flames,5,11,2,218,Y
2,Elemental Mastery,Control and communion with inanimate objects,5,11,2,214,Y
3,Hands of Destruction,Sabbat path with rumours of demonoic origin,5,11,2,217,Y
4,Neptune's Might,Manipulate water,5,11,2,218,Y
5,Path of Conjuring,Invoke objects out of thin air,5,11,2,220,Y
6,Path of Corruption,Influence the psyches of individuals,5,11,2,221,Y
7,The Path of Mars,Effect war and violence,5,11,2,224,Y
8,Path of Technomancy,Control of electronic devices,5,11,2,224,Y
9,Father's Vengeance,Based on teachings of the book of Nod,5,11,2,226,Y
11,Weather Control,Command over the weather,5,11,2,228,Y
12,Movement of the Mind,Telekinesis,5,11,2,220,Y
13,Path of Blood,Default Thaumaturgy Path,5,11,2,213,Y
14,The Sepulchre Path,"Witness, summon, and command the spirits of the dead",11,11,2,160,Y
15,The Ash Path,The lands of the dead,11,11,2,163,Y
16,The Bone Path,Corpses and the methods by which dead souls can be restored to the living world,11,11,2,164,Y
17,The Cenotaph Path,Discovering or forging links between the living world and the Shadowlands,11,11,2,166,Y
18,The Corpse in the Monster,Enhances the necromantic understanding of the unliving form,11,11,2,168,Y
19,The Grave's Decay,Observation of the working of time on all things mortal,11,11,2,171,Y
20,Path of the Four Humors,This antiquated path was primarily considered the knowledge of the Lamia bloodline,11,11,2,173,Y
21,Vitreous Path,Control and influence the energies pertaining to death,11,11,2,174,Y
